Alaska,Hawaii
99501,96701
99502,96703
99503,96704
99504,96705
99505,96706
99506,96707
99507,96708
99508,96709
99509,96710
99510,96712
99511,96713
99513,96714
99514,96715
99515,96716
99516,96717
99517,96718
99518,96719
99519,96720
99520,96721
99521,96722
99522,96725
99523,96726
99524,96727
99529,96728
99530,96729
99540,96730
99545,96731
99546,96732
99547,96733
99548,96734
99549,96737
99550,96738
99551,96739
99552,96740
99553,96741
99554,96742
99555,96743
99556,96744
99557,96745
99558,96746
99559,96747
99561,96748
99563,96749
99564,96750
99565,96751
99566,96752
99567,96753
99568,96754
99569,96755
99571,96756
99572,96757
99573,96759
99574,96760
99575,96761
99576,96762
99577,96763
99578,96764
99579,96765
99580,96766
99581,96767
99583,96768
99585,96769
99586,96770
99587,96771
99588,96772
99589,96773
99590,96774
99591,96776
99599,96777
99602,96778
99603,96779
99604,96780
99605,96781
99606,96782
99607,96783
99608,96784
99609,96785
99610,96786
99611,96788
99612,96789
99613,96790
99614,96791
99615,96792
99619,96793
99620,96795
99621,96796
99622,96797
99623,96801
99624,96802
99625,96803
99626,96804
99627,96805
99628,96806
99629,96807
99630,96808
99631,96809
99632,96810
99633,96811
99634,96812
99635,96813
99636,96814
99637,96815
99638,96816
99639,96817
99640,96818
99641,96819
99643,96820
99644,96821
99645,96822
99647,96823
99648,96824
99649,96825
99650,96826
99651,96827
99652,96828
99653,96830
99654,96835
99655,96836
99656,96837
99657,96838
99658,96839
99659,96840
99660,96841
99661,96843
99662,96844
99663,96846
99664,96847
99665,96848
99666,96849
99667,96850
99668,96853
99669,96854
99670,96857
99671,96858
99672,96859
99674,96860
99675,96861
99676,96863
99677,96898
99678,
99679,
99680,
99681,
99682,
99683,
99684,
99685,
99686,
99687,
99688,
99689,
99690,
99691,
99692,
99693,
99694,
99695,
99697,
99701,
99702,
99703,
99704,
99705,
99706,
99707,
99708,
99709,
99710,
99711,
99712,
99714,
99716,
99720,
99721,
99722,
99723,
99724,
99725,
99726,
99727,
99729,
99730,
99731,
99732,
99733,
99734,
99736,
99737,
99738,
99739,
99740,
99741,
99742,
99743,
99744,
99745,
99746,
99747,
99748,
99749,
99750,
99751,
99752,
99753,
99754,
99755,
99756,
99757,
99758,
99759,
99760,
99761,
99762,
99763,
99764,
99765,
99766,
99767,
99768,
99769,
99770,
99771,
99772,
99773,
99774,
99775,
99776,
99777,
99778,
99779,
99780,
99781,
99782,
99783,
99784,
99785,
99786,
99788,
99789,
99790,
99791,
99801,
99802,
99803,
99811,
99812,
99820,
99821,
99824,
99825,
99826,
99827,
99829,
99830,
99832,
99833,
99835,
99836,
99840,
99841,
99850,
99901,
99903,
99918,
99919,
99921,
99922,
99923,
99925,
99926,
99927,
99928,
99929,
99950,
