grade,0,2,3,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40
O10,0,0,0,0,0,0,0,0,0,0,0,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O9,0,0,0,0,0,0,0,0,0,0,0,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O8,13380,13818.9,14109.3,14190.3,14553.6,15159.3,15300.6,15876.3,16042.2,16538.1,17256,17917.2,18359.1,18359.1,18359.1,18359.1,18808.2,18808.2,18808.2,18808.2,18808.2,18808.2
O7,11117.7,11634,11873.1,12063.6,12407.1,12747.3,13140,13531.5,13925.1,15159.3,16202.1,16202.1,16202.1,16202.1,16285.5,16285.5,16611,16611,16611,16611,16611,16611
O6,8430.9,9261.9,9870,9870,9907.8,10332.3,10388.7,10388.7,10979.1,12022.8,12635.4,13247.7,13596.3,13949.1,14632.8,14632.8,14925,14925,14925,14925,14925,14925
O5,7028.4,7917.3,8465.4,8568.6,8910.9,9114.9,9564.9,9895.8,10322.7,10974.3,11285.1,11592.3,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9,11940.9
O4,6064.2,7019.7,7488.9,7592.4,8027.1,8493.6,9075,9526.2,9840.6,10020.9,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125,10125
O3,5331.6,6044.1,6522.6,7112.4,7453.8,7827.9,8069.1,8466.6,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5,8674.5
O2,4606.8,5246.7,6042.9,6247.2,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3,6375.3
O1,3998.4,4161.9,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3,5031.3
O3E,0,0,0,7112.4,7453.8,7827.9,8069.1,8466.6,8802.6,8995.2,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7,9257.7
O2E,0,0,0,6247.2,6375.3,6578.1,6920.7,7185.9,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383,7383
O1E,0,0,0,5031.3,5372.4,5571.3,5774.4,5973.6,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2,6247.2
W5,0,0,0,0,0,0,0,0,0,0,0,9797.4,10294.5,10665,11074.2,11074.2,11628.9,11628.9,12209.4,12209.4,12821.1,12821.1
W4,5510.4,5926.8,6096.9,6264.3,6552.9,6838.2,7127.1,7560.9,7941.9,8304.3,8601.6,8891.1,9315.6,9664.8,10062.9,10062.9,10263.6,10263.6,10263.6,10263.6,10263.6,10263.6
W3,5032.2,5241.3,5457,5526.9,5752.2,6195.6,6657.6,6875.1,7126.8,7385.4,7851.9,8166.3,8354.4,8554.5,8827.2,8827.2,8827.2,8827.2,8827.2,8827.2,8827.2,8827.2
W2,4452.6,4873.8,5003.1,5092.5,5380.8,5829.6,6052.5,6271.2,6539.1,6748.5,6937.8,7164.6,7313.7,7431.9,7431.9,7431.9,7431.9,7431.9,7431.9,7431.9,7431.9,7431.9
W1,3908.1,4329.3,4442.1,4681.2,4963.5,5379.9,5574.3,5847,6114.3,6324.6,6518.4,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6,6753.6
E9,0,0,0,0,0,0,6657.3,6807.9,6997.8,7221.6,7447.8,7808.4,8114.7,8436,8928.6,8928.6,9374.1,9374.1,9843.3,9843.3,10336.5,10336.5
E8,0,0,0,0,0,5449.5,5690.7,5839.8,6018.6,6212.1,6561.9,6739.2,7040.7,7207.8,7619.4,7619.4,7772.1,7772.1,7772.1,7772.1,7772.1,7772.1
E7,3788.1,4134.3,4293,4502.1,4666.5,4947.6,5106.3,5387.1,5621.4,5781.3,5951.1,6017.1,6238.2,6356.7,6808.8,6808.8,6808.8,6808.8,6808.8,6808.8,6808.8,6808.8
E6,3276.6,3606,3765,3919.8,4080.6,4443.9,4585.2,4858.8,4942.5,5003.4,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8,5074.8
E5,3220.5,3466.5,3637.5,3802.2,3959.4,4142.4,4234.5,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7,4259.7
E4,3027.3,3182.1,3354.9,3524.7,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6,3675.6
E3,2733,2904.6,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081,3081
E2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2,2599.2
E1,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319,2319
